Julian Day/Window No./Z(Depth)/X(East-West)/Y(North-South)/n-MAD
2012-061	790	24	19	14	11.366949
2012-061	1791	28	1	20	11.387402
2012-061	10789	29	15	14	10.347784
2012-061	11512	37	15	10	10.323218
2012-061	11840	9	7	16	20.381537
2012-061	12494	98	18	2	18.544684
2012-061	12764	79	7	13	11.848336
2012-061	12768	4	7	12	21.597009
2012-061	13247	42	11	19	13.429870
2012-061	13248	5	14	12	13.992131
2012-061	15916	0	4	20	22.291659
2012-061	17589	68	4	7	14.698024
2012-061	21602	0	2	23	26.342712
2012-062	4058	9	19	6	13.125139
2012-062	11467	56	21	12	10.920013
2012-062	11527	3	3	23	11.879162
2012-062	11528	4	7	21	11.899376
2012-062	11797	13	2	21	11.814028
2012-062	12611	21	8	19	11.318880
2012-062	12613	98	10	12	11.032187
2012-062	12648	42	16	16	10.106958
2012-062	12653	5	10	18	11.433289
2012-062	12678	122	6	3	11.210978
2012-062	12679	53	21	15	13.235180
2012-062	12680	10	7	18	11.738320
2012-062	13117	94	3	20	18.474292
2012-062	13118	33	2	24	11.749282
2012-062	14479	25	15	10	18.493222
2012-062	14480	19	15	13	18.055719
2012-062	15516	3	2	10	14.156367
2012-062	15517	82	9	17	13.186916
2012-062	18523	42	13	12	14.055885
2012-063	10118	6	19	2	11.056014
2012-063	11870	0	7	16	14.009133
2012-063	12076	11	5	22	12.350083
2012-063	12098	18	2	22	13.789680
2012-063	12168	71	13	6	43.346015
2012-063	12257	30	8	18	12.413026
2012-063	12259	60	2	26	10.713928
2012-063	12491	7	2	24	13.158938
2012-063	12493	2	15	10	12.782892
2012-063	12494	6	11	16	11.437076
2012-063	12696	9	20	8	14.361972
2012-063	12915	0	3	24	11.958845
2012-063	12918	42	7	1	10.098941
2012-063	12937	16	13	13	24.197857
2012-063	12939	21	21	2	13.366610
2012-063	12940	11	6	16	12.833505
2012-063	12941	86	2	22	16.150179
2012-063	12942	50	12	13	13.650364
2012-063	12944	18	7	10	12.001140
2012-063	12945	84	6	21	12.216122
2012-063	12946	54	10	21	12.410523
2012-063	13516	99	14	10	12.852535
2012-063	13517	9	20	10	14.101241
2012-063	14295	11	8	11	12.650031
2012-063	14296	3	12	22	12.001055
2012-063	14504	1	3	25	14.741423
2012-063	15127	4	4	19	13.485511
2012-063	16099	16	5	20	13.305104
2012-063	17169	37	8	15	45.069197
2012-063	17258	89	18	3	11.454301
2012-063	18697	5	15	12	13.664317
2012-063	19492	12	2	20	11.497868
2012-063	19916	16	5	23	11.202873
2012-064	1683	11	8	13	12.206430
2012-064	2801	64	20	9	10.339163
2012-064	7071	3	17	5	12.591672
2012-064	11682	98	19	2	11.202606
2012-064	11684	0	16	14	11.808524
2012-064	12800	40	13	18	10.449722
2012-064	13154	96	17	13	10.758683
2012-064	13159	93	10	6	11.808516
2012-064	13160	22	14	2	12.581154
2012-064	13161	44	1	22	10.334432
2012-064	13247	6	10	7	14.574674
2012-064	13248	1	6	17	11.906651
2012-064	14197	7	19	5	12.735984
2012-064	14597	30	12	11	11.226164
2012-064	14984	0	19	8	14.574450
2012-064	15310	32	20	7	10.335386
2012-064	15892	58	11	14	10.788078
2012-064	17301	19	4	23	11.912653
2012-064	18893	14	12	13	11.643238
2012-064	18985	0	4	15	15.326711
2012-064	19198	12	17	12	12.863451
2012-064	20155	15	17	11	12.884015
2012-065	1080	19	16	12	11.470036
2012-065	8392	3	16	12	13.873915
2012-065	9554	0	14	13	12.377711
2012-065	10447	32	13	13	14.989406
2012-065	10607	45	14	7	13.065518
2012-065	10806	37	14	17	10.062146
2012-065	10808	11	7	20	11.858237
2012-065	10876	117	15	21	10.976858
2012-065	10878	3	14	13	12.516785
2012-065	11383	76	17	2	10.677643
2012-065	11384	61	17	26	10.493947
2012-065	11436	10	12	11	12.067615
2012-065	11450	91	15	6	11.938522
2012-065	11451	8	17	11	14.679988
2012-065	11749	13	6	17	12.384923
2012-065	11807	11	9	17	11.215312
2012-065	12307	45	3	21	10.620147
2012-065	12308	40	4	21	10.649149
2012-065	12322	42	10	14	11.610115
2012-065	12614	5	11	18	11.143737
2012-065	12920	116	16	4	10.256892
2012-065	12923	5	16	11	11.829168
2012-065	12952	6	18	11	12.601572
2012-065	13185	50	16	24	10.082374
2012-065	13400	24	17	4	26.645052
2012-065	13416	47	7	13	14.539627
2012-065	13432	23	21	3	15.822899
2012-065	13603	28	5	11	10.051085
2012-065	14002	84	10	13	19.062462
2012-065	14137	28	9	23	10.409224
2012-065	15050	38	18	23	12.544013
2012-065	16003	21	17	10	20.280232
2012-065	17404	2	4	14	15.887887
2012-065	17433	8	15	5	16.981153
2012-065	18401	1	12	5	24.351315
2012-065	18432	1	8	10	16.047134
2012-065	19922	58	15	24	13.227029
2012-066	721	6	6	15	17.967668
2012-066	2132	6	3	22	11.139712
2012-066	10940	1	9	17	14.552232
2012-066	11691	5	17	8	11.790974
2012-066	11720	1	13	6	17.853517
2012-066	12047	4	14	8	16.901645
2012-066	12131	1	15	9	11.199436
2012-066	12490	29	2	9	13.604031
2012-066	12675	106	6	21	12.170998
2012-066	12944	43	15	26	10.697928
2012-066	12950	2	2	21	11.432923
2012-066	13508	6	9	19	12.518976
2012-066	13544	91	12	13	10.335459
2012-066	14381	35	20	11	10.172905
2012-066	16676	16	12	4	12.199649
2012-066	17447	0	18	7	12.176174
2012-067	9523	74	17	14	10.597295
2012-067	11592	49	14	12	10.229249
2012-067	11602	33	15	12	10.622361
2012-067	11711	64	18	13	10.373707
2012-067	11887	27	1	23	10.980019
2012-067	12740	41	4	14	10.424177
2012-067	12846	0	5	26	12.045261
2012-067	13553	36	5	19	10.139920
2012-067	14177	26	1	19	10.387606
2012-067	18712	48	18	16	10.353976





